high	low	varBid	open	close	timestamp
5.1673	5.1085	0.0019	5.1175	5.1163	2024-04-28 20:59:20
5.1673	5.1085	-0.0432	5.1163	5.1163	2024-04-26 20:58:40
5.1615	5.1585	0	5.1163	5.1597	2024-04-25 21:08:26
5.1535	5.1469	0.0015	5.1597	5.1471	2024-04-24 23:58:40
5.1322	5.1258	0.0062	5.1471	5.1318	2024-04-23 21:30:01
5.1694	5.1634	-0.0017	5.1318	5.1658	2024-04-22 22:30:04
5.2768	5.1852	-0.045	5.1658	5.2027	2024-04-19 20:59:58
5.2768	5.1852	-0.0454	5.2027	5.2023	2024-04-19 20:59:42
5.2485	5.2416	-0.0066	5.2023	5.2412	2024-04-18 21:26:34
5.2425	5.2327	-0.0088	5.2412	5.2328	2024-04-17 21:16:07
5.2913	5.2821	0.0041	5.2328	5.2864	2024-04-16 22:28:02
5.1905	5.1835	0.0025	5.2864	5.1866	2024-04-15 21:29:53
5.148	5.0893	0.0263	5.1866	5.1177	2024-04-12 20:59:58
5.148	5.0893	0.0268	5.1177	5.1177	2024-04-12 20:59:05
5.0932	5.09	0.0015	5.1177	5.0927	2024-04-11 21:29:17
5.0753	5.0673	-0.0073	5.0927	5.0668	2024-04-10 21:29:54
5.01	5.0056	0.0001	5.0668	5.0088	2024-04-09 23:58:40
5.0294	5.0256	-0.0007	5.0088	5.0256	2024-04-08 21:29:33
5.0738	5.0302	0.001	5.0256	5.0659	2024-04-07 21:00:00
5.0738	5.0302	0.0121	5.0659	5.0655	2024-04-05 20:59:54
5.0738	5.0302	0.0126	5.0655	5.0662	2024-04-05 20:59:03
5.0589	5.0535	0.0042	5.0662	5.0575	2024-04-04 21:29:22
5.0406	5.0371	0.0004	5.0575	5.0392	2024-04-03 21:29:09
5.0679	5.0581	0.0088	5.0392	5.0659	2024-04-02 22:28:03
5.0586	5.0526	0.0008	5.0659	5.0546	2024-04-01 23:58:40
5.0163	5.0139	-0.0006	5.0546	5.0138	2024-03-31 20:59:20
5.0163	5.0139	0.0026	5.0138	5.0153	2024-03-29 20:59:40
5.0163	5.0139	0.0025	5.0153	5.0153	2024-03-29 20:59:40
5.0163	5.0139	0.0025	5.0153	5.0153	2024-03-28 23:59:40
4.9925	4.9855	0.0059	5.0153	4.9921	2024-03-27 22:28:03
4.9822	4.9766	-0.0037	4.9921	4.9767	2024-03-26 21:30:01
4.9762	4.9727	-0.0014	4.9767	4.9733	2024-03-25 22:28:03
5.0081	4.9739	0.0217	4.9733	4.9993	2024-03-22 20:59:54
5.0081	4.9739	0.0229	4.9993	5.0005	2024-03-22 20:59:07
4.9795	4.9739	-0.0042	5.0005	4.9736	2024-03-21 21:29:03
4.9705	4.9663	-0.0025	4.9736	4.9663	2024-03-20 21:29:22
5.0354	5.0311	0.0042	4.9663	5.0339	2024-03-19 21:29:56
5.0363	5.0238	0.0056	5.0339	5.0304	2024-03-18 22:28:39
5.0018	4.9818	0.0011	5.0304	4.9954	2024-03-17 20:58:40
5.0018	4.9818	0.0062	4.9954	4.9949	2024-03-15 20:59:58
5.0018	4.9818	0.0065	4.9949	4.9954	2024-03-15 20:58:55
4.9947	4.9897	0.0052	4.9954	4.9942	2024-03-14 21:27:44
4.9713	4.9693	0.0012	4.9942	4.971	2024-03-13 21:22:56
4.9735	4.968	-0.0018	4.971	4.9695	2024-03-12 21:49:03
4.9791	4.9758	0.0017	4.9695	4.9783	2024-03-11 21:29:34
4.9923	4.9344	0.0029	4.9783	4.9825	2024-03-10 20:59:29
4.9923	4.9344	0.046	4.9825	4.9805	2024-03-08 21:29:20
4.9473	4.9316	0.0005	4.9805	4.935	2024-03-07 21:30:02
4.9473	4.9451	0.0005	4.935	4.9446	2024-03-06 23:59:00
4.9586	4.9583	0.0005	4.9446	4.9581	2024-03-05 23:59:20
4.9587	4.9405	-0.0083	4.9581	4.9454	2024-03-04 21:27:48
4.9545	4.9545	0.0004	4.9454	4.9541	2024-03-03 23:59:20
